,Country,Total_Cases,New_cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_1M_Pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop,Population
0,USA,"29,693,869","+39,586","537,826 ",+704,"20,331,446","8,824,597","13,321","89,353","1,618","369,054,443","1,110,538","332,320,317 "
1,India,"11,229,271","+18,691","157,890 ",+99,"10,880,880","190,501","8,944","8,083",114,"221,430,507","159,395","1,389,197,541 "
2,Brazil,"11,019,344","+80,024","265,500 ","+1,054","9,757,178","996,666","8,318","51,592","1,243","28,600,000","133,905","213,584,556 "
3,Russia,"4,322,776","+10,595","89,094 ",+368,"3,911,924","321,758","2,300","29,613",610,"112,900,000","773,409","145,977,047 "
4,UK,"4,218,520","+5,177","124,501 ",+82,"3,199,565","894,454","1,542","61,920","1,827","94,197,029","1,382,644","68,128,167 "
5,France,"3,904,233","+21,825","88,574 ",+130,"265,295","3,550,364","3,743","59,724","1,355","54,979,855","841,034","65,371,726 "
6,Spain,"3,149,012",,"71,138 ",,"2,744,664","333,210","2,571","67,334","1,521","39,313,189","840,616","46,767,102 "
7,Italy,"3,067,486","+20,765","99,785 ",+207,"2,494,839","472,862","2,605","50,785","1,652","42,342,845","701,026","60,401,273 "
8,Turkey,"2,780,417","+11,187","29,030 ",+65,"2,623,924","127,463","1,261","32,729",342,"34,122,851","401,664","84,953,710 "
9,Germany,"2,508,655","+6,533","72,532 ",+62,"2,304,300","131,823","2,848","29,877",864,"45,114,160","537,291","83,966,033 "
10,Colombia,"2,276,656","+3,411","60,503 ",+91,"2,177,199","38,954","1,982","44,422","1,181","11,717,598","228,635","51,250,222 "
11,Argentina,"2,149,636","+2,922","52,880 ",+10,"1,945,816","150,940","3,467","47,269","1,163","7,720,598","169,770","45,476,874 "
12,Mexico,"2,125,866","+6,561","190,357 ",+779,"1,666,658","268,851","4,798","16,372","1,466","5,608,961","43,196","129,850,313 "
13,Poland,"1,794,914","+13,574","45,285 ",+126,"1,482,568","267,061","1,769","47,461","1,197","10,242,519","270,834","37,818,384 "
14,Iran,"1,689,692","+8,010","60,687 ",+93,"1,442,198","186,807","3,795","19,944",716,"11,274,630","133,081","84,720,323 "
15,South Africa,"1,521,068",+862,"50,678 ",+31,"1,440,874","29,516",546,"25,430",847,"9,255,492","154,736","59,814,665 "
16,Ukraine,"1,401,228","+7,167","27,022 ",+103,"1,196,520","177,686",177,"32,172",620,"7,062,386","162,151","43,554,470 "
17,Indonesia,"1,379,662","+5,826","37,266 ",+112,"1,194,656","147,740",,"5,008",135,"11,168,525","40,542","275,482,689 "
18,Peru,"1,364,964",,"47,681 ",,"1,269,365","47,918","2,191","41,012","1,433","7,868,298","236,410","33,282,432 "
19,Czechia,"1,321,331","+9,066","21,717 ",+93,"1,131,209","168,405","1,722","123,230","2,025","8,703,283","811,685","10,722,493 "
20,Netherlands,"1,120,075","+4,526","15,833 ",+30,N/A,N/A,542,"65,270",923,"6,970,400","406,185","17,160,653 "
21,Canada,"886,274","+2,188","22,239 ",+26,"834,067","29,968",572,"23,344",586,"25,066,354","660,223","37,966,492 "
22,Chile,"855,785","+5,302","21,077 ",+69,"805,717","28,991","1,777","44,508","1,096","9,721,537","505,607","19,227,454 "
23,Romania,"828,283","+3,288","20,900 ",+45,"754,335","53,048","1,093","43,252","1,091","7,128,270","372,232","19,150,095 "
24,Portugal,"810,094",+682,"16,540 ",+28,"731,567","61,987",354,"79,605","1,625","8,345,773","820,107","10,176,447 "
25,Israel,"801,575","+1,848","5,891 ",+35,"758,766","36,918",712,"87,151",640,"12,374,804","1,345,440","9,197,590 "
26,Belgium,"785,809","+2,799","22,240 ",+25,"53,344","710,225",433,"67,603","1,913","9,737,252","837,693","11,623,888 "
27,Iraq,"726,548","+3,359","13,572 ",+24,"660,541","52,435",438,"17,794",332,"7,123,762","174,473","40,830,103 "
28,Sweden,"684,961",,"13,003 ",,N/A,N/A,231,"67,537","1,282","6,139,911","605,394","10,142,008 "
29,Philippines,"594,412","+3,276","12,516 ",+51,"545,853","36,043",785,"5,376",113,"9,036,220","81,726","110,567,618 "
30,Pakistan,"590,508","+1,780","13,205 ",+39,"559,248","18,055","1,595","2,639",59,"9,212,480","41,167","223,784,370 "
31,Switzerland,"562,290",,"10,048 ",+2,"518,582","33,660",163,"64,649","1,155","5,198,760","597,726","8,697,559 "
32,Bangladesh,"550,330",+606,"8,462 ",+11,"503,003","38,865",,"3,319",51,"4,146,205","25,007","165,801,056 "
33,Morocco,"486,223",+249,"8,682 ",+6,"472,240","5,301",244,"13,068",233,"5,729,423","153,989","37,206,702 "
34,Serbia,"485,439","+3,042","4,562 ",+20,"400,347","80,530",171,"55,712",524,"3,041,684","349,082","8,713,375 "
35,Austria,"475,070","+2,199","8,713 ",+19,"443,152","23,205",314,"52,545",964,"5,683,179","628,581","9,041,286 "
36,Hungary,"466,017","+6,201","15,873 ",+108,"335,512","114,632",778,"48,324","1,646","3,850,623","399,292","9,643,637 "
37,Japan,"438,956","+1,064","8,227 ",+49,"418,261","12,468",373,"3,478",65,"8,586,151","68,029","126,212,579 "
38,Jordan,"427,717","+6,302","4,935 ",+35,"367,315","55,467",469,"41,640",480,"4,864,598","473,589","10,271,763 "
39,UAE,"410,849","+2,613","1,322 ",+12,"392,792","16,735",,"41,203",133,"32,239,855","3,233,271","9,971,281 "
40,Lebanon,"395,604","+2,376","5,046 ",+33,"310,304","80,254",911,"58,138",742,"3,149,744","462,884","6,804,601 "
41,Saudi Arabia,"379,831",+357,"6,528 ",+4,"370,614","2,689",505,"10,797",186,"13,972,208","397,161","35,180,179 "
42,Panama,"344,477",,"5,910 ",,"331,233","7,334",195,"78,997","1,355","1,959,066","449,260","4,360,653 "
43,Slovakia,"323,390","+1,286","7,836 ",+97,"255,300","60,254",738,"59,213","1,435","2,123,806","388,873","5,461,442 "
44,Malaysia,"313,460","+1,683","1,169 ",+3,"291,958","20,333",174,"9,602",36,"6,532,613","200,101","32,646,566 "
45,Belarus,"295,511","+1,079","2,038 ",+9,"286,484","6,989",,"31,280",216,"5,007,154","530,014","9,447,207 "
46,Ecuador,"294,503","+1,560","16,039 ",+19,"256,009","22,455",516,"16,523",900,"1,039,729","58,333","17,824,095 "
47,Nepal,"274,721",+66,"3,010 ",,"270,886",825,,"9,316",102,"2,192,836","74,358","29,490,428 "
48,Georgia,"272,851",+234,"3,576 ",+9,"266,693","2,582",,"68,488",898,"2,846,649","714,529","3,983,951 "
49,Bulgaria,"260,308",+497,"10,614 ",+21,"212,887","36,807",456,"37,656","1,535","1,744,583","252,373","6,912,730 "
50,Bolivia,"253,950",+653,"11,807 ",+18,"197,427","44,716",71,"21,556","1,002","758,549","64,389","11,780,707 "
51,Croatia,"246,514",+394,"5,590 ",+5,"237,181","3,743",74,"60,302","1,367","1,385,768","338,985","4,087,990 "
52,Dominican Republic,"243,247",+587,"3,172 ",+10,"197,622","42,453",191,"22,272",290,"1,230,872","112,701","10,921,612 "
53,Tunisia,"237,704",+676,"8,201 ",+34,"202,399","27,104",280,"19,971",689,"1,004,877","84,427","11,902,387 "
54,Azerbaijan,"236,768",+403,"3,241 ",+3,"229,718","3,809",,"23,210",318,"2,653,375","260,106","10,201,125 "
55,Ireland,"223,219",+520,"4,422 ",+3,"23,364","195,433",103,"44,867",889,"3,619,581","727,534","4,975,134 "
56,Kazakhstan,"218,101",+802,"2,799 ",,"201,750","13,552",221,"11,522",148,"7,419,449","391,968","18,928,728 "
57,Denmark,"214,839",+513,"2,379 ",+2,"205,365","7,095",37,"37,003",410,"18,112,278","3,119,545","5,806,064 "
58,Costa Rica,"206,640",,"2,833 ",,"187,484","16,323",133,"40,315",553,"700,259","136,619","5,125,648 "
59,Greece,"205,120","+1,142","6,758 ",+53,"176,078","22,284",466,"19,745",651,"5,558,976","535,117","10,388,328 "
60,Lithuania,"202,214",+390,"3,328 ",+6,"188,191","10,695",136,"74,997","1,234","2,171,570","805,393","2,696,287 "
61,Kuwait,"200,572","+1,144","1,127 ",+7,"186,187","13,258",175,"46,501",261,"1,850,363","428,994","4,313,259 "
62,Palestine,"196,812","+2,264","2,140 ",+13,"175,178","19,494",146,"37,986",413,"1,227,583","236,930","5,181,211 "
